ID,Culture_code,Culture_code_Arc,Culture_name,Continent,Subsistence_type,Calendar_name,Solar_year,Solar_month,Lunar_month,Lunar_year,Lunar_week,Arbitrary_week,SY_length,LY_length,SM_length,LM_length,LW_length,AW_length,AW_extra_length,AW_supercycle_length,AW_N,Week_concept,SCCS,Sources
AA01,AA01,NA,Korea,Asia,Intensive Agriculturalists,Korean calendar,1a,1b,1a,0b,0b,0a,354,not used,15,29,not used,not used,not used,not used,0,Explicit absence,Present,"Dallet, C. (1874). A history of the church in Korea (Vol. 1; C. A. Messner, Trans.). Victor Palmé. https://ehrafworldcultures.yale.edu/document?id=aa01-049

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Dix, G. (1987). The New Year's ritual and village social structure. In L. Kendall & G. Dix (Eds.), Religion and ritual in Korean society (pp. 93–117). Institute of East Asian Studies, University of California. https://ehrafworldcultures.yale.edu/document?id=aa01-076

Han, C. C. (1970). Social organization of Upper Han Hamlet in Korea [Doctoral dissertation]. University Microfilms. https://ehrafworldcultures.yale.edu/cultures/aa01/documents/056

Manthe, U. (2004). [Review of the book Antikes chinesisches Kalenderwesen, by R. H. Gassmann]. Early China, 29, 303–321. https://doi.org/10.1017/S0362502800007148

Moose, J. R. (1911). Village life in Korea. M. E. Church. https://ehrafworldcultures.yale.edu/cultures/aa01/documents/004"
AB06,AB06,NA,Ainu,Asia,Hunter-gatherers,Ainu calendar,0b,0b,0b,0b,0b,0b,not used,not used,not used,not used,not used,not used,not used,not used,0,Absence,Present,"Nilsson, M. P. (1920). Primitive time-reckoning: A study in the origins and first development of the art of counting time among the primitive and early culture peoples. C. W. K. Gleerup.

Watanabe, H. (1964). The Ainu: A study of ecology and the system of social solidarity between man and nature in relation to group structure. Journal of the Faculty of Science, University of Tokyo, Section V (Anthropology), 2, 1–164. https://ehrafworldcultures.yale.edu/document?id=ab06-011

Ohnuki-Tierney, E. (1973). Sakhalin Ainu time reckoning. Man, 8(2), 285–299. "
AE15,AE15,NA,Chinese (Qing dynasty),Asia,Intensive Agriculturalists,Chinese (Chongzhen) calendar,1a,1a,1a,0a,1b,1b,354,not used,15,29,10,7,not used,not used,1,Judeo-Roman,Present,"Chinese calendar. (2025, December 10). In Wikipedia. https://en.wikipedia.org/wiki/Chinese_calendar

Chongzhen calendar. (2025, December 10). In Wikipedia. https://en.wikipedia.org/wiki/Chongzhen_calendar

Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Fei, H. (1946). Peasant life in China: A field study of country life in the Yangtze Valley. Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=ae15-014"
AH01_A,AH01,NA,Mongolia,Asia,Pastoralists,Mongolian lunisolar calendar,1a,0b,1a,0a,0a,1a,354,not used,not used,29,not used,7,not used,not used,1,Judeo-Roman,Absent,"Atwood, C. P. (2002). Young Mongols and vigilantes in Inner Mongolia's interregnum decades, 1911–1931 (Vol. 2). Brill. https://doi.org/10.1163/9789004531291

Maiskii, I. M. (1921). Contemporary Mongolia (Mrs. Dayton & J. Kunitz, Trans.). Gosudarstvennoe izdatel'stvo, Irkutskoe otdelenie. https://ehrafworldcultures.yale.edu/document?id=ah01-014

Mongolian calendar. (2026, March 20). In Wikipedia. https://en.wikipedia.org/w/index.php?title=Mongolian_calendar&oldid=1360710355

Vreeland, H. H. (1973). Mongol community and kinship structure. Greenwood Press. https://ehrafworldcultures.yale.edu/document?id=ah01-016"
AJ01,AJ01,NA,Tibetans,Asia,Intensive Agriculturalists,Tibetan (Phuglugs version of Kālacakra) calendar,1a,1a,1a,0a,0b,1a,354,not used,15,29,not used,7,not used,not used,1,Judeo-Roman,Absent,"Dershowitz, N., & Reingold, E. M. (2018). Calendrical calculations: The ultimate edition (4th ed.). Cambridge University Press.

Henning, E. (2007). Kālacakra and the Tibetan calendar. American Institute of Buddhist Studies.

Rockhill, W. W. (1895). Notes on the ethnology of Tibet. In Report of the U.S. National Museum for 1893 (pp. 665–747). Smithsonian Institution. https://ehrafworldcultures.yale.edu/document?id=aj01-011

Shên, T.-L., Liu, S.-C., & Taylor, G. E. (1953). Tibet and the Tibetans. Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=aj01-001"
AK05,AK05,NA,Lepcha,Asia,Intensive Agriculturalists,Lepcha calendar,1a,1a,0b,0b,0b,1a,360,not used,30,not used,not used,7,not used,not used,1,Judeo-Roman,Present,"Gorer, G., & Hutton, J. H. (1938). Himalayan village: An account of the Lepchas of Sikkim. Michael Joseph. https://ehrafworldcultures.yale.edu/document?id=ak05-001

Morris, J. (1938). Living with Lepchas: A book about the Sikkim Himalayas. William Heinemann. https://ehrafworldcultures.yale.edu/document?id=ak05-002

Siiger, H. (1967). The Lepchas: Culture and religion of a Himalayan people, part 1 (Nationalmuseets skrifter, Etnografisk række, Vol. 11). National Museum of Denmark. https://ehrafworldcultures.yale.edu/document?id=ak05-013"
AM04,AM04,NA,Cambodians,Asia,Intensive Agriculturalists,Khmer calendar,1a,0b,1a,0a,0b,1a,354,not used,not used,29,not used,7,not used,not used,1,Judeo-Roman,Absent,"Aymonier, E. (1953). Cambodia: Vol. 1. The modern kingdom (M. Thompson, Trans.). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=am04-147

Eade, J. C. (1995). The calendrical systems of mainland South-East Asia. Brill.

Leclère, A. (1956). The Buddhism of Cambodia (R. von Scheliha, Trans.). Human Relations Area Files. https://ehrafworldcultures.yale.edu/cultures/am04/documents/148

Martini, F. (1953). The Cambodian bonze (A. Szogyi, Trans.). France-Asie, 4, 881–888. https://ehrafworldcultures.yale.edu/document?id=am04-141

Porée, G., & Porée-Maspero, E. (1952). Traditions and customs of the Khmer (K. Botsford, Trans.; Collection de documents et de témoignages pour servir à l'histoire de notre temps). Human Relations Area Files. https://ehrafworldcultures.yale.edu/document?id=am04-083"
AO07_A,AO07,NA,Central Thai,Asia,Intensive Agriculturalists,Central Thai calendar,1a,0b,1a,0a,1a,1a,354,not used,not used,29,15,7,not used,not used,1,Judeo-Roman,Present,"Eade, J. C. (1995). The calendrical systems of mainland South-East Asia. Brill.

Sharp, L., & Hanks, L. M. (1978). Bang Chan: Social history of a rural community in Thailand (Cornell Studies in Anthropology). Cornell University Press. https://ehrafworldcultures.yale.edu/document?id=ao07-008

Terwiel, B. J. (1975). Monks and magic: An analysis of religious ceremonies in central Thailand (Scandinavian Institute of Asian Studies Monograph Series No. 24). Studentlitteratur; Curzon Press. https://ehrafworldcultures.yale.edu/document?id=ao07-019"
AO07_B,AO07,NA,Thai,Asia,Intensive Agriculturalists,Thai solar calendar,1a,1a,0a,0a,0a,1a,365,not used,28,not used,not used,7,not used,not used,1,Judeo-Roman,Absent,"List of calendars. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/List_of_calendars

Thai solar calendar. (2025, August 21). In Wikipedia. https://en.wikipedia.org/wiki/Thai_solar_calendar

Quaritch Wales, H. G. (1931). Siamese state ceremonies: Their history and function. Bernard Quaritch."
AP04_A,AP04,NA,Burmese,Asia,Intensive Agriculturalists,Burmese calendar,1a,0b,1a,0a,1b,1a,354,not used,not used,29,15,7,not used,not used,1,Judeo-Roman,Present,"Ferrars, M., & Ferrars, B. (1901). Burma. Sampson Low, Marston. https://ehrafworldcultures.yale.edu/document?id=ap04-025

Gislén, L., & Eade, J. C. (2019). The calendars of Southeast Asia. 2: Burma, Thailand, Laos and Cambodia. Journal of Astronomical History and Heritage, 22(3), 417–430.

Scott, J. G. (1910). The Burman: His life and notions. Macmillan. https://ehrafworldcultures.yale.edu/document?id=ap04-002"
